boundary_times_sec,stimulus_file,Boundary count,Confidence Rating,stimulus_name,predictability,old_video_code,old_pair_number,video_code_second_version,pair_number_second_version,included_in_new_version,block,global_position_in_block,participant_id
"[3.719903,9.641575,18.21947,20.588331,22.209738,23.559322]",baking_v1.mp4,6.0,Moderately confident,baking,Predictable,P1,1,P1,1,True,2.0,1.0,6001
"[4.112601,16.749636,19.930041,23.580853]",baking_v2.mp4,4.0,Moderately confident,baking,Unpredictable,U1,1,U1,1,True,1.0,1.0,6001
"[7.195596,8.571405,22.038294,27.33818]",balcony_v1.mp4,4.0,Moderately confident,balcony,Predictable,P2,2,P2,2,True,2.0,2.0,6001
"[2.148218,7.030174,8.922312,18.72335,24.746563]",balcony_v2.mp4,5.0,Slightly unconfident,balcony,Unpredictable,U2,2,U2,2,True,1.0,2.0,6001
"[5.42126,8.150549,10.772005,13.901502,18.162588]",bank_v1.mp4,5.0,Neutral,bank,Predictable,P3,3,P3,3,True,2.0,3.0,6001
"[5.237747,10.710444,12.282853,16.312696,18.057542]",bank_v2.mp4,5.0,Neutral,bank,Unpredictable,U3,3,U3,3,True,1.0,3.0,6001
"[3.872521,6.377953,9.501004,14.732223,17.295881,22.961934,27.225831,33.678876]",bathroom_v1.mp4,8.0,Moderately confident,bathroom,Predictable,P4,4,P4,4,True,1.0,4.0,6001
"[3.786855,7.363994,9.433749,15.133357,23.953312,28.581166,33.172776,34.525043]",bathroom_v2.mp4,8.0,Very confident,bathroom,Unpredictable,U4,4,U4,4,True,2.0,4.0,6001
"[2.072616,5.069479,19.063691,25.94036]",beach_v1.mp4,4.0,Moderately confident,beach,Predictable,P5,5,P5,5,True,1.0,6.0,6001
"[3.331033,6.433088,9.099538,11.949784,19.344343,22.794689,25.687968]",beach_v2.mp4,7.0,Neutral,beach,Unpredictable,U5,5,U5,5,True,2.0,6.0,6001
"[5.498522,10.487635,23.053096,29.215566,32.218338]",bedding_v1.mp4,5.0,Very confident,bedding,Predictable,P6,6,P6,6,True,1.0,5.0,6001
"[8.273327,23.299199,29.987791,32.165112]",bedding_v2.mp4,4.0,Neutral,bedding,Unpredictable,U6,6,U6,6,True,2.0,5.0,6001
"[3.54577,8.190513,12.52105,16.769692,20.513273,28.842903]",bike_v1.mp4,6.0,Moderately confident,bike,Predictable,P7,7,P7,7,True,1.0,7.0,6001
"[3.527095,10.725302,12.832835,17.509901,22.21116,28.734649]",bike_v2.mp4,6.0,Very confident,bike,Unpredictable,U7,7,U7,7,True,2.0,7.0,6001
"[6.913532,14.361213,21.519724,30.605492,37.69079,38.788647]",car_v1.mp4,6.0,Very confident,car,Predictable,P8,8,P8,8,True,2.0,8.0,6001
"[1.992887,9.376124,13.569619,17.862848,21.083356,29.85632,37.186937]",car_v2.mp4,7.0,Moderately confident,car,Unpredictable,U8,8,U8,8,True,1.0,8.0,6001
"[2.774472,14.90321,23.048327,28.590209,31.982961,36.567222]",cereal_v1.mp4,6.0,Very confident,cereal,Predictable,P9,9,P9,9,True,1.0,9.0,6001
"[3.415909,14.909046,23.990426,28.61966,32.983844]",cereal_v2.mp4,5.0,Very confident,cereal,Unpredictable,U9,9,U9,9,True,2.0,9.0,6001
