"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","pair_count","randomized_pair_order","block1_codes","block2_codes","max_run_block1","max_run_block2","fullscreen_exit_count","tab_switch_count","video_attention_failure_count","total_attention_violation_count","view_history","rt","stimulus","response","trial_kind","question_order","spacebar_question_answer","attention_question_answer","spacebar_question_correct","attention_question_correct","instruction_check_passed","demo_index","demo_code","stimulus_file","stimulus_name","predictability","boundary_times_sec","boundary_count","value","video_code","pair_number","block","global_position_in_block","min_press_gap_sec","no_press_failure","rapid_press_failure","video_attention_failed","video_attention_failure_type","last_video_had_any_attention_violation","current_video_fullscreen_exit_count","current_video_tab_switch_count","current_video_had_fullscreen_exit","current_video_had_tab_switch","current_video_had_video_attention_failure","skipped_video_debug","confidence_rating"
"true","false","[]","[]","[]","preload","0","2.0.0","24031","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2.0.0","149388","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","[{""page_index"":0,""viewing_time"":125355}]","125355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.0.0","152397","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","","2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","195404","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","","43005","The experiment requires continuous attention and full-screen participation throughout the task.<br><br>You may be asked to exit the experiment and cancel your participation if you exit Full Screen Mode, switch tabs, or fail to meet the attention criteria more than the allowed number of times.<br><br>Please read the following instructions carefully.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","2.0.0","222077","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","[{""page_index"":0,""viewing_time"":26671}]","26671","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","2.0.0","233813","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","","11735","Please pay attention when watching videos and marking boundaries.<br><br>There are several hidden attention criteria to make sure you watch the videos carefully.<br><br>If you fail these hidden criteria more than the allowed number of times, you may be asked to exit the experiment.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","6","2.0.0","257693","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","","23879","","{""spacebar_question"":""All of the above answers are wrong"",""attention_question"":""Press space bar to segment the video""}","comprehension_check","[0,1]","All of the above answers are wrong","Press space bar to segment the video","false","true","false","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","2.0.0","260469","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","","2775","You answered some questions incorrectly.<br><br>Please read the instructions again before continuing.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","8","2.0.0","276926","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","[{""page_index"":0,""viewing_time"":16454}]","16455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","2.0.0","280470","90","1","2026-06-08 18:52:47","segmentation_norming_randomized_order_maxrun_attention_v4","51.146.137.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","WebKit","Chrome","146.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a270f78f401ec8e3fba9662?PROLIFIC_PID=69fbbd287ad72ce563b72cb7&SESSION_ID=6a270f78f401ec8e3fba9662?","en-GB,en;q=0.9","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","69fbbd287ad72ce563b72cb7","6a270c2e609d6ae583c06396","6a270f78f401ec8e3fba9662?","30","[14,7,9,13,23,24,1,15,21,10,29,16,22,30,6,3,26,4,19,20,28,25,12,27,2,17,8,18,11,5]","[""P14"",""P7"",""U9"",""P13"",""U23"",""U24"",""U1"",""U15"",""P21"",""U10"",""P29"",""U16"",""P22"",""U30"",""P6"",""P3"",""U26"",""P4"",""U19"",""P20"",""U28"",""U25"",""U12"",""U27"",""P2"",""U17"",""P8"",""U18"",""P11"",""P5""]","[""U14"",""U7"",""P9"",""U13"",""P23"",""P24"",""P1"",""P15"",""U21"",""P10"",""U29"",""P16"",""U22"",""P30"",""U6"",""U3"",""P26"",""U4"",""P19"",""U20"",""P28"",""P25"",""P12"",""P27"",""U2"",""P17"",""U8"",""P18"",""U11"",""U5""]","4","4","0","0","1","1","","3543","Please pay attention when watching videos and marking boundaries.<br><br>There are several hidden attention criteria to make sure you watch the videos carefully.<br><br>If you fail these hidden criteria more than the allowed number of times, you may be asked to exit the experiment.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
