PROLIFIC_PID,randomized_pair_order,stimulus_name,predictability,boundary_times_sec,boundary_count,block,global_position_in_block,video_attention_failure_type
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",music,Unpredictable,"[0.949312,3.188492,10.492566,13.892868,16.22932,18.861343,24.020977,27.300714,31.548953,36.101108]",10.0,1.0,1.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",bathroom,Unpredictable,"[1.524847,2.916594,4.340948,7.077322,10.116592,11.813071,14.668693,16.228922,17.932541,20.756779,24.82098,27.101014,29.269114,31.164659]",14.0,1.0,2.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",fireplace,Unpredictable,"[1.745575,5.952763,11.001605,13.944452,17.001334,20.992911,28.169142]",7.0,1.0,3.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",printer,Unpredictable,"[2.284385,5.621223,7.812686,11.996829,16.708913,20.892806,26.412595,34.061366,38.388647,41.316842,43.412721]",11.0,1.0,4.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",gym,Predictable,"[1.340864,2.364657,5.068599,8.556852,12.204749,16.204583,19.908683,22.548912,25.532747]",9.0,1.0,5.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",lamp,Unpredictable,"[1.464385,4.688582,7.832746,14.064781,17.632965,23.640842,27.84077]",7.0,1.0,6.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",baking,Predictable,"[1.488583,4.496594,8.824935,16.320904,19.369066,21.344578,22.91253,25.521283]",8.0,1.0,7.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",football,Unpredictable,"[1.684797,4.260969,7.048391,11.165463,21.16489,24.148976,30.044573,32.588906]",8.0,1.0,8.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",bike,Predictable,"[3.280896,8.608851,12.08096,17.616622,22.888841]",5.0,1.0,9.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",bank,Unpredictable,"[1.341469,5.956744,8.773198,9.44476,10.708899,17.132873,18.708551]",7.0,1.0,10.0,
