"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","pair_count","randomized_pair_order","block1_codes","block2_codes","max_run_block1","max_run_block2","fullscreen_exit_count","tab_switch_count","video_attention_failure_count","total_attention_violation_count","view_history","rt","stimulus","response","trial_kind","question_order","spacebar_question_answer","attention_question_answer","spacebar_question_correct","attention_question_correct","instruction_check_passed","demo_index","demo_code","stimulus_file","stimulus_name","predictability","boundary_times_sec","boundary_count","value","video_code","pair_number","block","global_position_in_block","min_press_gap_sec","no_press_failure","rapid_press_failure","video_attention_failed","video_attention_failure_type","last_video_had_any_attention_violation","current_video_fullscreen_exit_count","current_video_tab_switch_count","current_video_had_fullscreen_exit","current_video_had_tab_switch","current_video_had_video_attention_failure","skipped_video_debug","confidence_rating"
"true","false","[]","[]","[]","preload","0","2.0.0","2942","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2.0.0","13340","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":10397}]","10397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.0.0","15530","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","","1185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","21419","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","","5887","The experiment requires continuous attention and full-screen participation throughout the task.<br><br>You may be asked to exit the experiment and cancel your participation if you exit Full Screen Mode, switch tabs, or fail to meet the attention criteria more than the allowed number of times.<br><br>Please read the following instructions carefully.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","2.0.0","42390","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":20970}]","20970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","2.0.0","50904","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","","8513","Please pay attention when watching videos and marking boundaries.<br><br>There are several hidden attention criteria to make sure you watch the videos carefully.<br><br>If you fail these hidden criteria more than the allowed number of times, you may be asked to exit the experiment.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","6","2.0.0","62136","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","","11229","","{""spacebar_question"":""Between the smallest meaningful events or actions"",""attention_question"":""Press space bar to segment the video""}","comprehension_check","[0,1]","Between the smallest meaningful events or actions","Press space bar to segment the video","true","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","2.0.0","149101","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","","86963","You have learned the instructions for the task! Here is a demo trial.<br><br>Like what you will do in the main experiment,<br><br> you will watch a movie clip and at the same time mark off the activity in the movie into the <strong>smallest meaningful units</strong> that seem natural and meaningful to you.<br><br>Remember, tap the <strong>SPACE BAR</strong> to mark off a boundary between two <strong>smallest meaningful units</strong> of activity.<br><br>A green bar will appear at the bottom of the screen when you press the button.<br><br>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","9","2.0.0","165535","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","","null","[""library_v1.mp4""]","null","demo_video","","","","","","","1","demo1","library_v1.mp4","library","Demo","[5.027286,10.751503]","2","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","10","2.0.0","165536","78","1","2026-06-08 14:27:52","segmentation_norming_randomized_order_maxrun_attention_v4","90.240.109.194","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=65a69840034890b79a097d95&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cf73b0c52c0c7d4d591b?PROLIFIC_PID=65a69840034890b79a097d95&SESSION_ID=6a26cf73b0c52c0c7d4d591b?","en-GB,en;q=0.9","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","65a69840034890b79a097d95","6a230fc25d128c9d1b56061a","6a26cf73b0c52c0c7d4d591b?","30","[10,8,21,2,24,15,7,26,20,4,29,28,1,25,30,19,11,27,5,3,23,17,6,22,12,14,9,16,13,18]","[""U10"",""U8"",""P21"",""P2"",""P24"",""U15"",""U7"",""U26"",""U20"",""U4"",""P29"",""P28"",""P1"",""U25"",""P30"",""P19"",""P11"",""P27"",""U5"",""U3"",""P23"",""U17"",""P6"",""P22"",""P12"",""U14"",""U9"",""U16"",""U13"",""P18""]","[""P10"",""P8"",""U21"",""U2"",""U24"",""P15"",""P7"",""P26"",""P20"",""P4"",""U29"",""U28"",""U1"",""P25"",""U30"",""U19"",""U11"",""U27"",""P5"",""P3"",""U23"",""P17"",""U6"",""U22"",""U12"",""P14"",""P9"",""P16"",""P13"",""U18""]","5","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
